,PubMedID
1806,38047895
1807,38047746
1808,38047404
1809,38047399
1810,38044663
1811,38038224
1812,38038124
1813,38037876
1814,38018444
1815,38018424
1816,38014941
1817,38014915
1818,38013489
1819,38013466
1820,38013459
1821,38010166
1822,38009934
1823,37997769
1824,37997395
1825,37990947
1826,37990931
1827,37990925
1828,37990919
1829,37990852
1830,37990627
1831,37990572
1832,37987617
1833,37987037
1834,37986608
1835,37986572
1836,37982342
1837,37982298
1838,37982293
1839,37982207
1840,37975827
1841,37975703
1842,37975420
1843,37974456
1844,37971358
1845,37966856
1846,37964679
1847,37964663
1848,37955609
1849,37955235
1850,37955203
1851,37955201
1852,37953738
1853,37953734
1854,37953707
1855,37953644
1856,37947078
1857,37946538
1858,37942841
1859,37941473
1860,37938124
1861,37937966
1862,37937634
1863,37937417
1864,37934507
1865,37934458
1866,37934118
1867,37929928
1868,37929679
1869,37929670
1870,37927220
1871,37921104
1872,37921004
1873,37920970
1874,37920935
1875,37917175
1876,37917009
1877,37917006
1878,37916468
1879,37910389
1880,37910388
1881,37909648
1882,37909384
1883,37909361
1884,37909352
1885,37909060
1886,37905467
1887,37904545
1888,37901956
1889,37901894
1890,37888984
1891,37888956
1892,37886894
1893,37885402
1894,37878081
1895,37877327
1896,37877316
1897,37877301
1898,37877204
1899,37877187
1900,37877170
1901,37876312
1902,37874292
1903,37873807
1904,37873599
1905,37873584
1906,37872812
1907,37869993
1908,37869981
1909,37853818
1910,37853796
1911,37853786
1912,37850311
1913,37850305
1914,37850304
1915,37850299
1916,37850271
1917,37850250
1918,37850246
1919,37849354
1920,37846619
1921,37843833
1922,37843459
1923,37842835
1924,37842821
1925,37842806
1926,37840367
1927,37830402
1928,37830374
1929,37830254
1930,37824091
1931,37823277
1932,37823270
1933,37823264
1934,37822275
1935,37822156
1936,37818766
1937,37817648
1938,37814919
1939,37814804
1940,37807767
1941,37807764
1942,37807713
1943,37791575
1944,37791430
1945,37791422
1946,37791404
1947,37789772
1948,37789698
1949,37782550
1950,37782068
1951,37779509
1952,37767753
1953,37753638
1954,37751281
1955,37751229
1956,37750817
1957,37750784
1958,37750214
1959,37750042
1960,37749982
1961,37747051
1962,37740402
1963,37740397
1964,37740378
1965,37740320
1966,37740314
1967,37740279
1968,37728020
1969,37727911
1970,37727909
1971,37727888
1972,37727138
1973,37727116
1974,37727112
1975,37724634
1976,37724447
1977,37724440
1978,37724344
1979,37721092
1980,37721049
1981,37721031
1982,37721029
1983,37720998
1984,37718709
1985,37712890
1986,37712149
1987,37706425
1988,37705421
1989,37702147
1990,37702077
1991,37701932
1992,37700728
1993,37700625
1994,37698045
1995,37697810
1996,37695077
1997,37694441
1998,37682063
1999,37675476
2000,37674465
2001,37674435
2002,37671769
2003,37671527
2004,37668597
2005,37668222
2006,37667977
2007,37665632
2008,37661927
2009,37661768
2010,37656424
2011,37655721
2012,37655519
2013,37655486
2014,37650588
2015,37650570
2016,37650569
2017,37649427
2018,37646819
2019,37646077
2020,37644782
2021,37642526
2022,37641956
2023,37641527
2024,37623744
2025,37622289
2026,37615658
2027,37615596
2028,37614168
2029,37610228
2030,37609719
2031,37609716
2032,37608753
2033,37606203
2034,37603338
2035,37594411
2036,37593820
2037,37587844
2038,37584321
2039,37584086
2040,37581615
2041,37581251
2042,37581240
2043,37580990
2044,37580958
2045,37578169
2046,37577774
2047,37575086
2048,37565837
2049,37565488
2050,37565424
2051,37563960
2052,37563947
2053,37560938
2054,37555444
2055,37555267
2056,37554072
2057,37552201
2058,37551630
2059,37551112
2060,37545413
2061,37545365
2062,37545169
2063,37540219
2064,37539820
2065,37539650
2066,37539625
2067,37539498
2068,37534776
2069,37534429
2070,37530181
2071,37530140
2072,37528807
2073,37526619
2074,37523206
2075,37523205
2076,37522237
2077,37522170
2078,37519266
2079,37505198
2080,37505112
2081,37496436
2082,37491995
2083,37491975
2084,37489037
2085,37489021
2086,37489019
2087,37482808
2088,37477533
2089,37476854
2090,37475586
2091,37470708
2092,37466082
2093,37465918
2094,37465903
2095,37465898
2096,37464922
2097,37464917
2098,37464890
2099,37463000
2100,37458409
2101,37458393
2102,37458109
2103,37458002
2104,37455619
2105,37455606
2106,37449368
2107,37448376
2108,37439780
2109,37439116
2110,37435712
2111,37435667
2112,37435638
2113,37435627
2114,37432655
2115,37431779
2116,37431770
2117,37431691
2118,37431688
2119,37431684
2120,37431674
2121,37431606
2122,37431576
2123,37431285
2124,37431242
2125,37431231
2126,37427764
2127,37427755
2128,37427710
2129,37427706
2130,37427691
2131,37427687
2132,37427685
2133,37417809
2134,37417457
2135,37415547
2136,37409588
